a_book_number,b_book_name,c_author,d_book_type,e_condition,f_book_link,g_update_info,h_up_time,i_intro
22,黎明之剑,远瞳,科幻,连载,//book.qidian.com/info/1010400217,最新更新 第九百七十三章 离开与火花,2020-07-08 08:05,高文穿越了，但穿越的时候稍微出了点问题。在某个异界大陆上空飘了十几万年之后，他觉得自己可能需要一具身体才算是成为一个完整的穿越者，但他并没想到自己好不容易成功之后竟然还需要带着这具身体从棺材里爬出来，并且面对两个吓蒙了的曾曾曾曾……曾孙女。以及一个即将迎来纪元终结的世界。
23,我真没想重生啊,柳岸花又明,都市,连载,//book.qidian.com/info/1015648531,最新更新 757、即将炸裂的12月25日（祝所有高考学子金榜题名）,2020-07-07 21:32,万万没想到，社会精英、钻石单身汉的陈汉升居然重生了，一觉醒来变成了高三毕业生。十字路口的陈汉升也在犹豫，宝藏女孩沈幼楚和白月光萧容鱼，应该选择谁？已有精品作品《大时代1994》，验证群964657392（粉丝值500以上进群）。
24,伏天氏,净无痕,玄幻,连载,//book.qidian.com/info/1011058239,最新更新 第1946章 落幕,2020-07-07 23:50,东方神州，有人皇立道统，有圣贤宗门传道，有诸侯雄踞一方王国，诸强林立，神州动乱千万载，值此之时，一代天骄叶青帝及东凰大帝横空出世，东方神州一统！然，叶青帝忽然暴毙，世间雕像尽皆被毁，于世间除名，沦为禁忌；从此神州唯东凰大帝独尊！十五年后，东海青州城，一名为叶伏天的少年，开启了他的传奇之路…
25,凌天战尊,风轻扬,玄幻,连载,//book.qidian.com/info/3394273,最新更新 第4118章 全魂上品神剑,2020-07-08 00:12,地球最强兵王魂穿异世，融轮回武帝记忆，修《九龙战尊诀》，所向披靡，战威无可敌！会炼药、能炼器、懂铭纹……生活职业，全能才是王道！！
26,港综世界大枭雄,萌俊,科幻,连载,//book.qidian.com/info/1018970292,最新更新 286 龙头棍！,2020-07-08 09:00,他叫庄世楷，是探长！也是一哥！从70年代的探长，到80年代的署长，再到90年代的首位华人处长。有人叫他庄先生，有人叫他庄处长，最后《时代周刊》称他为“跨越世纪的枭雄”。......“叮，发布任务：击毙伍世豪！”手腕上的大金劳泛起一抹闪光，又要开始搞事了。本书为电影世界题材，如有雷同，纯属故意碰瓷。读者群新界总区：1093329759
27,太乙,雾外江山,仙侠,连载,//book.qidian.com/info/1021283704,最新更新 第二百零一章 熔心炎魔,2020-07-08 00:05,奠玉群仙座，焚香太乙宫。……两个宇宙的对撞吞噬，胜负的关键时刻，叶江川来到了这里。穿越到此，他时常能够来到一间变化万千的小酒馆。这个酒馆似乎有无穷的形态，时而是古代东方酒肆、时而是现代都市酒吧、时而是未来机械酒馆……侠客、矮人、恶鬼、机械生命……叶江川在这里见过许多不同生命形态的过客，直到那天，他遇到了一位牵着青牛的耄耋老者！奇迹卡牌，混沌道棋。秘宝、血脉、神通、奇遇……当这些摆在他的面前唾手可得时，叶江川便明白，一切都不一样了！
28,左道倾天,风凌天下,玄幻,连载,//book.qidian.com/info/1016460852,最新更新 只要爆发就想开单章怎么破？,2020-07-07 18:24,是非谁来判定，功过谁予置评？此生不想规矩，只求随心所欲。天机握在手中，看我飞扬跋扈。————我是左小多，我不走寻常路。
29,小阁老,三戒大师,历史,连载,//book.qidian.com/info/1016855477,最新更新 第九章 较量的关键,2020-07-07 23:37,站在你面前的是：大明王朝的守护者，万历皇帝的亲密战友，内阁首辅的好儿子，十六、十七世纪全球首富。控制吏部三十年的幕后黑手，宗藩制度的掘墓人，东林党口中的严世藩第二，张居正高呼不可战胜。海瑞的知己，徐渭的东家，利玛窦的剃度人，徐光启等六位状元的授业恩师。大明诗坛遮羞布，七百余种各学科书籍撰写者，两千七百余项专利的发明人，现代大学与科学的奠基者。海外汉人的保护神，新航路的开辟者，大洋秩序的维持者，全球大型工程的承包商。祸乱欧洲的罪魁祸首，德川家康的义父，塞巴斯蒂安的拯救者，一心为民的小阁老。小阁老书友群：56471661
30,我有一座冒险屋,我会修空调,悬疑,连载,//book.qidian.com/info/1012284323,最新更新  第1128章 面对面（4000）,2020-07-07 21:44,【本作品简体实体书由次元书馆出版】陈歌继承了失踪父母留下的冒险屋，无奈生意萧条，直到整理冒险屋时意外发现的手机改变了这一切。只要完成手机每日布置的不同难度的任务，冒险屋就能得到修缮甚至扩建！于是陈歌开始在各大禁地里探险取材，将其中场景元素纳入到自己的冒险屋中。随着前来参观的游客们各种惊声尖叫，冒险屋一举成名！然而虽然任务带来的好处越来越多，但其中隐患也慢慢显现，甚至父母失踪的线索似乎也藏其中……书友一群819098233；二群724779368；三群946284995
31,我真不是仙二代,明月地上霜,仙侠,连载,//book.qidian.com/info/1017596129,最新更新 第433章  紧急！魔主追杀,2020-07-07 20:00,安不浪是一个顶级仙二代，但他并不快乐。一日，一个容貌绝美的少女走到他的面前，拿出一纸婚书：“安不浪，我要退婚！”安不浪勃然大怒：“三十年河东，三十年河西，莫欺少年……”“呜呜呜……别人都说我配不上你……”少女突然泪流满面，“是，我仅仅是个十大圣宗的宗主之女，仅有一条圣品寒灵根的卑微少女而已，连神女榜榜首都不是的渣渣，我高攀不上你，但我还不能悔婚吗？！”说罢，少女将婚书撕裂，暴风雨哭泣，掩面飞走。安不浪一脸懵逼地站在原地。我这该死的仙二代！！……（普群：1031630512VIP群：229370094，上架前需2000粉丝值进群~）
